case_name,dice,iou,precision,recall,tp,fp,fn,tn,gt_area,pred_area,fp_area_ratio,fn_area_ratio,num_gt_cc,num_pred_cc,mean_component_size,perimeter,boundary_to_area_ratio,thinness_score,fragmentation_ratio,mean_routing_entropy,cnn_expert_fraction,vit_expert_fraction,expert_hhi_concentration,mean_gs,cnn_expert_selections,vit_expert_selections,error_taxonomy,primary_error_category,performance_tier
20160328_153629_1_361,0.9154217833674255,0.8440348232418404,0.8596167344809753,0.9789754216822696,33060,5399,710,191231,33770,38459,0.1403832652955095,0.021024578027835358,3,1,11256.666666666666,4891,0.14483269173822919,0.07241634586911459,0.3333333333333333,1.9999805740010743,0.2708333333333333,0.7291666666666666,0.09461805555555555,0.5115500000000001,13,35,['high_quality'],high_quality,High_Dice (>75%)
20160328_153629_641_361,0.8429640916111696,0.7285548231471873,0.7740182754803505,0.925393699876581,9402,2745,758,217495,10160,12147,0.22598172388244012,0.07460629921259843,2,1,5080.0,1951,0.19202755905511812,0.09601377952755906,0.5,1.9999871054314207,0.4166666666666667,0.5833333333333334,0.09375,0.5131,20,28,['boundary_margin_error'],boundary_margin_error,Medium_Dice (25-75%)
20160328_153629_641_721,0.9283284301726743,0.8662434054514037,0.8810519088841241,0.9809662738421846,28243,3813,548,197796,28791,32056,0.1189480908410282,0.01903372581709562,6,1,4798.5,3676,0.12767878851029835,0.06383939425514917,0.16666666666666666,1.9999813718760107,0.25,0.75,0.09635416666666667,0.5106333333333334,12,36,"['complex_topology', 'high_quality']",complex_topology,High_Dice (>75%)
20160328_153829_1281_361,0.871650917055079,0.772501108238706,0.7923899035366254,0.9685309283318826,31362,8217,1019,189802,32381,39579,0.20761009626316987,0.03146907136901269,7,1,4625.857142857143,7820,0.24149964485346345,0.12074982242673173,0.14285714285714285,1.9999873379490989,0.22916666666666666,0.7708333333333334,0.09635416666666669,0.51,11,37,"['complex_topology', 'high_quality']",complex_topology,High_Dice (>75%)
20160328_153829_1281_721,0.7863976936179854,0.6479863209574728,0.7081170838527775,0.8841368561841968,3411,1406,447,225136,3858,4817,0.29188291467718497,0.11586314152410575,3,1,1286.0,1468,0.3805080352514256,0.1902540176257128,0.3333333333333333,1.9999768960555862,0.2708333333333333,0.7291666666666666,0.09375,0.5115999999999999,13,35,['boundary_margin_error'],boundary_margin_error,Medium_Dice (25-75%)
20160328_153829_1921_1,0.8115756175062888,0.682900510508992,0.704202366119876,0.9575830932780637,18986,7975,841,202598,19827,26961,0.295797633618931,0.042416906238967066,14,1,1416.2142857142858,6747,0.3402935391133303,0.17014676955666516,0.07142857142857142,1.999983058551992,0.2916666666666667,0.7083333333333334,0.09027777777777778,0.5102166666666667,14,34,"['complex_topology', 'boundary_margin_error']",complex_topology,Medium_Dice (25-75%)
20160328_153829_1921_361,0.8185159650602849,0.6927863101443005,0.7094782940870604,0.9671552633899151,3563,1459,121,225257,3684,5022,0.29052170450019915,0.03284473398479913,2,2,1842.0,976,0.26492942453854507,0.13246471226927253,1.0,1.9999778546324787,0.3333333333333333,0.6666666666666666,0.09375,0.5117166666666667,16,32,['boundary_margin_error'],boundary_margin_error,Medium_Dice (25-75%)
20160328_153829_1_1,0.8278257415828555,0.7062309512757234,0.7214702699582831,0.9709596688756564,16684,6441,499,206776,17183,23125,0.2785297297297297,0.0290403305592737,4,1,4295.75,5674,0.33021009136937673,0.16510504568468837,0.25,1.9999786695156103,0.3125,0.6875,0.09288194444444445,0.511475,15,33,['boundary_margin_error'],boundary_margin_error,Medium_Dice (25-75%)
20160328_153829_1_721,0.8645018252057239,0.7613414485341203,0.8480235373570123,0.8816331947311702,6629,1188,890,221693,7519,7817,0.1519764615581425,0.1183668040962894,1,1,7519.0,1642,0.2183801037371991,0.10919005186859955,1.0,1.999979693423729,0.4583333333333333,0.5416666666666666,0.09809027777777779,0.5134916666666666,22,26,['high_quality'],high_quality,Medium_Dice (25-75%)
20160328_153829_641_1,0.8654464648659591,0.7628079575493207,0.8392877391180176,0.8932882659987396,14800,2834,1768,210998,16568,17634,0.16071226040603379,0.1067117334620956,5,2,3313.6,3613,0.21807098020280058,0.10903549010140029,0.4,1.9999845065685626,0.3958333333333333,0.6041666666666666,0.10243055555555555,0.512275,19,29,"['complex_topology', 'high_quality']",complex_topology,Medium_Dice (25-75%)
20160328_153829_641_1081,0.6255592084161272,0.4551372545449904,0.46394307606016705,0.95996691321759,5803,6705,242,217650,6045,12508,0.5360569235689159,0.04003308519437552,2,1,3022.5,1958,0.323904052936311,0.1619520264681555,0.5,1.999984366828248,0.375,0.625,0.09114583333333334,0.5119166666666667,18,30,['over_segmentation'],over_segmentation,Low_Dice (<25%)
20160328_153829_641_361,0.8464522284141242,0.7337816857384566,0.74370805291138,0.982135436944834,7092,2444,129,220735,7221,9536,0.2562919463087248,0.017864561695056087,2,1,3610.5,2066,0.2861099570696579,0.14305497853482896,0.5,1.999978772125959,0.4166666666666667,0.5833333333333334,0.09201388888888888,0.5146416666666667,20,28,['boundary_margin_error'],boundary_margin_error,Medium_Dice (25-75%)
20160328_153829_641_721,0.8065528044500648,0.675817755035579,0.6817913945733901,0.9872013609761033,2314,1080,30,226976,2344,3394,0.3182086034177961,0.012798634812286689,2,2,1172.0,1120,0.4778156996587031,0.23890784982935154,1.0,1.9999725081368973,0.2916666666666667,0.7083333333333334,0.09461805555555557,0.5119166666666667,14,34,['boundary_margin_error'],boundary_margin_error,Medium_Dice (25-75%)
20160329_103807_1081_1,0.1679091637023636,0.09164892939570686,0.10607158367472601,0.40264026181165974,732,6169,1086,222413,1818,6901,0.8939284161715694,0.5973597359735974,1,7,1818.0,702,0.38613861386138615,0.19306930693069307,7.0,1.9999746221963848,0.3125,0.6875,0.09635416666666667,0.5108083333333333,15,33,"['false_crack_high_fp', 'thin_low_area_failure', 'over_segmentation', 'fragmented_prediction']",false_crack_high_fp,Low_Dice (<25%)
20160329_103807_361_1,0.7818508073030572,0.6418350165894418,0.8505298378286621,0.7234345347923777,16775,2948,6413,204264,23188,19723,0.1494701617401004,0.27656546489563566,2,1,11594.0,1985,0.08560462308090391,0.04280231154045196,0.5,1.9999895300519246,0.2916666666666667,0.7083333333333334,0.09461805555555555,0.5105166666666667,14,34,['boundary_margin_error'],boundary_margin_error,Medium_Dice (25-75%)
20160329_103807_361_1281,0.7437600833975894,0.5920525797406128,0.7800079620529468,0.7107315596400448,23511,6631,9569,190689,33080,30142,0.2199920376882755,0.2892684401451028,4,2,8270.0,5043,0.1524486094316808,0.0762243047158404,0.5,1.9999869144818831,0.2708333333333333,0.7291666666666666,0.09461805555555555,0.5098083333333333,13,35,['boundary_margin_error'],boundary_margin_error,Medium_Dice (25-75%)
20160329_103807_361_1921,0.6646766523675193,0.4977645703162357,0.832646663308264,0.5530997142571692,18593,3737,15023,193047,33616,22330,0.16735333631885357,0.44690028557829603,6,4,5602.666666666667,5092,0.15147548786292242,0.07573774393146121,0.6666666666666666,1.9999864057624135,0.25,0.75,0.09288194444444445,0.5103333333333333,12,36,['complex_topology'],complex_topology,Low_Dice (<25%)
20160329_103807_361_641,0.8200758666658893,0.6950242337603533,0.9088655470600153,0.7470904582271563,35563,3566,12039,179232,47602,39129,0.0911344527077104,0.2529095416158985,3,1,15867.333333333334,4507,0.09468089576068232,0.04734044788034116,0.3333333333333333,1.9999872560278817,0.2916666666666667,0.7083333333333334,0.09809027777777778,0.509525,14,34,['boundary_margin_error'],boundary_margin_error,Medium_Dice (25-75%)
20160329_103807_721_1,0.7289668773427266,0.5735231162337603,0.701562226958648,0.7585995372252161,16077,6839,5116,202368,21193,22916,0.29843777273520683,0.24140046241683574,1,2,21193.0,3008,0.14193365733968763,0.07096682866984381,2.0,1.9999860607649316,0.2916666666666667,0.7083333333333334,0.0954861111111111,0.511525,14,34,['boundary_margin_error'],boundary_margin_error,Medium_Dice (25-75%)
20160329_103807_721_1281,0.6939501763924596,0.5313351480540356,0.6478405288710941,0.7471264332034174,1560,848,528,227464,2088,2408,0.3521594684385382,0.25287356321839083,2,1,1044.0,664,0.31800766283524906,0.15900383141762453,0.5,1.9999714686890249,0.3125,0.6875,0.0954861111111111,0.510525,15,33,['boundary_margin_error'],boundary_margin_error,Low_Dice (<25%)
20160330_165956_1281_721,0.6404286407012038,0.4710518769912211,0.49037744257020927,0.9227961806249352,6574,6832,550,216444,7124,13406,0.5096225570640012,0.0772038180797305,5,1,1424.8,3495,0.49059517125210556,0.24529758562605278,0.2,1.999985277518186,0.4375,0.5625,0.09809027777777778,0.5123416666666667,21,27,['complex_topology'],complex_topology,Low_Dice (<25%)
20160330_165956_1921_721,0.6745728413474749,0.5089475019006466,0.524562936604403,0.9447418121147012,6001,5439,351,218609,6352,11440,0.47543706293706295,0.05525818639798489,2,1,3176.0,3591,0.5653337531486146,0.2826668765743073,0.5,1.9999801821767385,0.4375,0.5625,0.1015625,0.51315,21,27,['moderate_general_error'],moderate_general_error,Low_Dice (<25%)
20160330_165956_1_1081,0.8345208116812981,0.7160323582312628,0.7916454916234927,0.8823062971428338,7789,2050,1039,219522,8828,9839,0.2083545075719077,0.11769370185772542,1,1,8828.0,3489,0.3952197553239692,0.1976098776619846,1.0,1.9999887936148306,0.4166666666666667,0.5833333333333334,0.09895833333333334,0.5121500000000001,20,28,['boundary_margin_error'],boundary_margin_error,Medium_Dice (25-75%)
20160330_165956_1_721,0.6739101625321915,0.5081934447360178,0.5218015794379793,0.951187580042664,5086,4661,261,220392,5347,9747,0.4781984200266749,0.048812418178417805,5,4,1069.4,4121,0.7707125490929493,0.38535627454647464,0.8,1.999980737908885,0.4375,0.5625,0.10069444444444446,0.5126166666666666,21,27,['complex_topology'],complex_topology,Low_Dice (<25%)
20160330_165956_641_721,0.7912287789049975,0.6545728133635071,0.6729694880335458,0.9599117310777103,7830,3805,327,218438,8157,11635,0.3270305113880533,0.04008826774549467,2,1,4078.5,4056,0.49724163295329166,0.24862081647664583,0.5,1.999983987181715,0.5208333333333334,0.4791666666666667,0.10763888888888888,0.513125,25,23,['boundary_margin_error'],boundary_margin_error,Medium_Dice (25-75%)
